Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",15.084,"vm.builtin.check_tensor_info",0.000726931
"float32[1, 6, 32, 64]",1,"cpu0",10.75,"vm.builtin.check_tensor_info",0.000518066
"float32[1, 6, 32, 64]",1,"cpu0",6.5,"vm.builtin.check_tensor_info",0.000313249
"float32[1, 6, 1500, 64]",1,"cpu0",5.583,"vm.builtin.check_tensor_info",0.000269057
"float32[1, 6, 1500, 64]",1,"cpu0",10.625,"vm.builtin.check_tensor_info",0.000512042
"float32[1, 6, 32, 64]",1,"cpu0",6.542,"vm.builtin.check_tensor_info",0.000315273
"float32[1, 6, 32, 64]",1,"cpu0",5.833,"vm.builtin.check_tensor_info",0.000281105
"float32[1, 6, 1500, 64]",1,"cpu0",5.458,"vm.builtin.check_tensor_info",0.000263033
"float32[1, 6, 1500, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000291177
"float32[1, 6, 32, 64]",1,"cpu0",7.501,"vm.builtin.check_tensor_info",0.000361489
"float32[1, 6, 32, 64]",1,"cpu0",5.375,"vm.builtin.check_tensor_info",0.000259033
"float32[1, 6, 1500, 64]",1,"cpu0",6.208,"vm.builtin.check_tensor_info",0.000299177
"float32[1, 6, 1500, 64]",1,"cpu0",6.291,"vm.builtin.check_tensor_info",0.000303177
"float32[1, 6, 32, 64]",1,"cpu0",5.083,"vm.builtin.check_tensor_info",0.000244961
"float32[1, 6, 32, 64]",1,"cpu0",6.959,"vm.builtin.check_tensor_info",0.000335369
"float32[1, 6, 1500, 64]",1,"cpu0",5.292,"vm.builtin.check_tensor_info",0.000255033
"float32[1, 6, 1500, 64]",1,"cpu0",5.416,"vm.builtin.check_tensor_info",0.000261009
"int64[1, 1], int64[5]",1,"cpu0",14.167,"vm.builtin.match_shape",0.000682738
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.626,"vm.builtin.match_shape",0.000367513
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.000361441
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.751,"vm.builtin.match_shape",0.000325345
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000345393
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.959,"vm.builtin.match_shape",0.000383561
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.917,"vm.builtin.match_shape",0.000381537
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000345393
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000345393
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",6.166,"vm.builtin.match_shape",0.000297153
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",6.292,"vm.builtin.match_shape",0.000303225
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.292,"vm.builtin.match_shape",0.000351417
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.25,"vm.builtin.match_shape",0.000301201
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.125,"vm.builtin.match_shape",0.000343369
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",6.125,"vm.builtin.match_shape",0.000295177
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.583,"vm.builtin.match_shape",0.000365441
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.375,"vm.builtin.match_shape",0.000355417
"int64[5]",1,"cpu0",8.751,"shape_func",0.00042173
"int64[1, 1]",1,"cpu0",17.417,"vm.builtin.reshape",0.000839363
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",16.709,"take",0.000805243
"int64[5]",1,"cpu0",10.167,"vm.builtin.make_shape",0.00048997
"float32[448, 384], float32[1, 384]",1,"cpu0",21.459,"vm.builtin.call_tir_dyn",0.00103416
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",15.918,"add",0.000767123
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",16.501,"mean",0.000795219
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",15.792,"subtract",0.000761051
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",15.793,"power",0.000761099
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",15.459,"mean",0.000745003
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",9.376,"add1",0.00045185
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.834,"tir_sqrt",0.00042573
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.459,"divide",0.000889579
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16,"multiply",0.000771075
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",18.75,"add2",0.000903603
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4918.42,"matmul",0.23703
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",34.96,"add3",0.0016848
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4887.63,"matmul",0.235546
"float32[1, 1, 384]",1,"cpu0",29.584,"vm.builtin.reshape",0.00142572
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4886.84,"matmul",0.235507
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",24.793,"add3",0.00119483
"float32[1, 1, 384]",1,"cpu0",17.168,"vm.builtin.reshape",0.000827363
"float32[1, 1, 6, 64]",1,"cpu0",15.959,"vm.builtin.reshape",0.000769099
"float32[1, 1, 6, 64]",1,"cpu0",9.959,"vm.builtin.reshape",0.000479946
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",18.875,"multiply1",0.000909627
"float32[1, 1, 384]",1,"cpu0",12.208,"vm.builtin.reshape",0.00058833
"float32[1, 1, 6, 64]",1,"cpu0",10.292,"vm.builtin.reshape",0.000495994
"int64[5]",1,"cpu0",14.376,"vm.builtin.make_shape",0.000692811
"int64[5]",1,"cpu0",19.251,"vm.builtin.make_shape",0.000927747
"float32[1, 6, 32, 64], float32[1, 6, 1, 64], float32[1, 6, 33, 64]",1,"cpu0",48.46,"concatenate",0.00233539
"int64[5]",1,"cpu0",13.5,"vm.builtin.make_shape",0.000650594
"int64[5]",1,"cpu0",13.042,"vm.builtin.make_shape",0.000628522
"float32[1, 6, 32, 64], float32[1, 6, 1, 64], float32[1, 6, 33, 64]",1,"cpu0",35.585,"concatenate",0.00171492
"int64[5]",1,"cpu0",10.042,"vm.builtin.make_shape",0.000483946
"float32[1, 6, 33, 64]",1,"cpu0",12.876,"vm.builtin.reshape",0.000620522
"float32[1, 6, 1, 64]",1,"cpu0",9,"vm.builtin.reshape",0.00043373
"int64[5]",1,"cpu0",7.167,"vm.builtin.make_shape",0.000345393
"int64[5]",1,"cpu0",11.084,"vm.builtin.make_shape",0.000534162
"int64[5]",1,"cpu0",8.5,"vm.builtin.make_shape",0.000409633
"float32[6, 33, 64], float32[6, 64, 33]",1,"cpu0",283.885,"vm.builtin.call_tir_dyn",0.013681
"int64[5]",1,"cpu0",12.209,"vm.builtin.make_shape",0.000588378
"int64[5]",1,"cpu0",11.542,"vm.builtin.make_shape",0.000556234
"int64[5]",1,"cpu0",7.959,"vm.builtin.make_shape",0.000383561
"float32[6, 1, 64], float32[6, 64, 33], float32[6, 1, 33]",1,"cpu0",352.388,"vm.builtin.call_tir_dyn",0.0169823
"int64[5]",1,"cpu0",9.292,"vm.builtin.make_shape",0.000447802
"int64[5]",1,"cpu0",9.875,"vm.builtin.make_shape",0.000475898
"int64[5]",1,"cpu0",9.333,"vm.builtin.make_shape",0.000449778
"float32[6, 1, 33], float32[6, 1, 33]",1,"cpu0",74.169,"vm.builtin.call_tir_dyn",0.00357437
"int64[5]",1,"cpu0",10.084,"vm.builtin.make_shape",0.00048597
"float32[1, 6, 33, 64]",1,"cpu0",11,"vm.builtin.reshape",0.000530114
"int64[5]",1,"cpu0",9.25,"vm.builtin.make_shape",0.000445778
"float32[6, 1, 33], float32[6, 33, 64], float32[6, 1, 64]",1,"cpu0",347.178,"vm.builtin.call_tir_dyn",0.0167313
"float32[6, 1, 64]",1,"cpu0",11.584,"vm.builtin.reshape",0.000558258
"float32[1, 6, 1, 64]",1,"cpu0",8.834,"vm.builtin.reshape",0.00042573
"float32[1, 1, 6, 64]",1,"cpu0",8.042,"vm.builtin.reshape",0.000387561
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4872.46,"matmul",0.234815
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",27.376,"add3",0.00131931
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",20.418,"add4",0.000983988
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",20.751,"mean",0.00100004
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.542,"subtract",0.000893579
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",16.418,"power",0.000791219
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",15.167,"mean",0.000730931
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",9.959,"add1",0.000479946
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.584,"tir_sqrt",0.000413682
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.918,"divide",0.000911699
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.668,"multiply",0.000851459
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.584,"add2",0.000847411
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4901.26,"matmul",0.236202
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",24.917,"add3",0.0012008
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",16.209,"multiply1",0.000781147
"float32[1, 1, 384]",1,"cpu0",18.834,"vm.builtin.reshape",0.000907651
"float32[1, 1, 6, 64]",1,"cpu0",10.626,"vm.builtin.reshape",0.00051209
"float32[1, 6, 1500, 64]",1,"cpu0",9.75,"vm.builtin.reshape",0.000469874
"float32[1, 6, 1, 64]",1,"cpu0",10.376,"vm.builtin.reshape",0.000500042
"float32[6, 1500, 64], float32[6, 64, 1500]",1,"cpu0",9719.39,"transpose3",0.468398
"float32[6, 1, 64], float32[6, 64, 1500], float32[6, 1, 1500]",1,"cpu0",27215.6,"matmul3",1.31158
"float32[6, 1, 1500], float32[6, 1, 1500]",1,"cpu0",1177,"softmax1",0.0567222
"float32[1, 6, 1500, 64]",1,"cpu0",20.793,"vm.builtin.reshape",0.00100206
"float32[6, 1, 1500], float32[6, 1500, 64], float32[6, 1, 64]",1,"cpu0",15290.6,"matmul4",0.736888
"float32[6, 1, 64]",1,"cpu0",28.668,"vm.builtin.reshape",0.00138157
"float32[1, 6, 1, 64]",1,"cpu0",14.251,"vm.builtin.reshape",0.000686787
"float32[1, 1, 6, 64]",1,"cpu0",11.584,"vm.builtin.reshape",0.000558258
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4890.84,"matmul",0.2357
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",26.126,"add3",0.00125907
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",20.084,"add4",0.000967892
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",20.084,"mean",0.000967892
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.667,"subtract",0.000899603
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",14.876,"power",0.000716907
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",15.876,"mean",0.000765099
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",10.542,"add1",0.000508042
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",10.001,"tir_sqrt",0.00048197
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",19.126,"divide",0.000921723
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.875,"multiply",0.000861435
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.125,"add2",0.000825291
"float32[1, 1, 384], float32[384, 1536], float32[1, 1, 1536]",1,"cpu0",147455,"matmul5",7.10618
"float32[1536], float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",36.71,"add5",0.00176913
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",31.709,"divide1",0.00152813
