Name,Total Duration (us),Total Count
fused_relax_matmul3_bananapi,971482020.0,12
fused_relax_matmul1_bananapi,156638069.217,8
fused_relax_matmul4_bananapi,149483739.4,8
fused_relax_matmul_bananapi,147608233.47999987,40
fused_relax_matmul2_bananapi,137194590.13200003,8
matmul7,37939760.0,37
matmul5,21965889.0,148
conv1d1,16265800.0,1
softmax,6673234.960000001,8
conv1d,5050270.0,1
matmul,4367279.559999959,888
matmul3,4086843.6,148
matmul6,3356251.7,148
matmul4,2298194.0999999996,148
transpose3,1574207.7129999998,160
fused_relax_matmul8_bananapi,1326690.0,1
erf2,1194172.0,4
fused_relax_matmul6_bananapi,599957.0,4
mean,232642.07299999605,1006
softmax1,176366.98999999996,152
add9,153280.80000000002,4
add7,153215.38599999997,20
multiply6,146744.69999999998,4
erf,130776.31900000012,153
multiply7,127856.7,4
add10,127756.5,4
divide3,127693.79999999999,4
divide2,127081.29999999999,9
add6,125738.51500000054,161
fused_relax_matmul7_bananapi,102777.9,4
vm.builtin.call_tir_dyn,98749.9399999999,629
fused_relax_matmul5_bananapi,93873.70000000001,4
subtract,90726.94700000121,503
power,86187.92400000105,503
multiply4,79639.41,9
add8,73931.60700000002,12
erf1,57550.4,1
vm.builtin.reshape,45395.82900000042,3130
transpose2,41960.5,4
transpose4,41331.0,4
add3,33157.18800000011,913
multiply5,32126.93,4
multiply,27929.85900000007,495
divide,25880.357000000073,495
transpose1,25272.730000000003,12
transpose,23705.5,1
vm.builtin.make_shape,22960.16600000012,2072
multiply1,21703.370000000043,305
add1,21025.89500000004,495
add4,18627.730000000065,449
add2,17038.57300000005,495
add,16625.577000000016,39
multiply2,14200.727999999992,153
divide1,13174.320999999998,153
concatenate,12829.078999999985,296
multiply3,12767.092999999993,153
vm.builtin.match_shape,8347.177000000023,928
add5,6776.956000000002,169
tir_sqrt,5037.758,503
vm.builtin.check_tensor_info,4596.958999999992,632
vm.builtin.make_tuple,1559.0159999999998,38
take,671.3969999999998,38
shape_func,279.633,37
