Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",17.459,"vm.builtin.check_tensor_info",0.00083955
"float32[1, 6, 23, 64]",1,"cpu0",8.959,"vm.builtin.check_tensor_info",0.000430811
"float32[1, 6, 23, 64]",1,"cpu0",8.376,"vm.builtin.check_tensor_info",0.000402776
"float32[1, 6, 1500, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.0002765
"float32[1, 6, 1500, 64]",1,"cpu0",7.583,"vm.builtin.check_tensor_info",0.000364643
"float32[1, 6, 23, 64]",1,"cpu0",5.875,"vm.builtin.check_tensor_info",0.000282511
"float32[1, 6, 23, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000290541
"float32[1, 6, 1500, 64]",1,"cpu0",5.209,"vm.builtin.check_tensor_info",0.000250485
"float32[1, 6, 1500, 64]",1,"cpu0",6.875,"vm.builtin.check_tensor_info",0.000330598
"float32[1, 6, 23, 64]",1,"cpu0",6.291,"vm.builtin.check_tensor_info",0.000302515
"float32[1, 6, 23, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000290541
"float32[1, 6, 1500, 64]",1,"cpu0",6.751,"vm.builtin.check_tensor_info",0.000324635
"float32[1, 6, 1500, 64]",1,"cpu0",5.459,"vm.builtin.check_tensor_info",0.000262506
"float32[1, 6, 23, 64]",1,"cpu0",5.083,"vm.builtin.check_tensor_info",0.000244426
"float32[1, 6, 23, 64]",1,"cpu0",5.583,"vm.builtin.check_tensor_info",0.000268469
"float32[1, 6, 1500, 64]",1,"cpu0",4.959,"vm.builtin.check_tensor_info",0.000238463
"float32[1, 6, 1500, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000290541
"int64[1, 1], int64[5]",1,"cpu0",12.375,"vm.builtin.match_shape",0.000595076
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",9.5,"vm.builtin.match_shape",0.000456826
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000344639
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.917,"vm.builtin.match_shape",0.000380704
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.584,"vm.builtin.match_shape",0.000364691
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",9.542,"vm.builtin.match_shape",0.000458845
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",7.125,"vm.builtin.match_shape",0.000342619
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.584,"vm.builtin.match_shape",0.000364691
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.834,"vm.builtin.match_shape",0.000328626
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",6.542,"vm.builtin.match_shape",0.000314585
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",6.959,"vm.builtin.match_shape",0.000334637
