Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",16.583,"vm.builtin.check_tensor_info",0.000766553
"float32[1, 6, 28, 64]",1,"cpu0",9.959,"vm.builtin.check_tensor_info",0.000460357
"float32[1, 6, 28, 64]",1,"cpu0",6.958,"vm.builtin.check_tensor_info",0.000321635
"float32[1, 6, 1500, 64]",1,"cpu0",5.333,"vm.builtin.check_tensor_info",0.000246519
"float32[1, 6, 1500, 64]",1,"cpu0",8.542,"vm.builtin.check_tensor_info",0.000394856
"float32[1, 6, 28, 64]",1,"cpu0",6.625,"vm.builtin.check_tensor_info",0.000306242
"float32[1, 6, 28, 64]",1,"cpu0",5.333,"vm.builtin.check_tensor_info",0.000246519
"float32[1, 6, 1500, 64]",1,"cpu0",4.875,"vm.builtin.check_tensor_info",0.000225348
"float32[1, 6, 1500, 64]",1,"cpu0",6.417,"vm.builtin.check_tensor_info",0.000296627
"float32[1, 6, 28, 64]",1,"cpu0",6.125,"vm.builtin.check_tensor_info",0.000283129
"float32[1, 6, 28, 64]",1,"cpu0",5.083,"vm.builtin.check_tensor_info",0.000234963
"float32[1, 6, 1500, 64]",1,"cpu0",5.458,"vm.builtin.check_tensor_info",0.000252297
"float32[1, 6, 1500, 64]",1,"cpu0",5,"vm.builtin.check_tensor_info",0.000231126
"float32[1, 6, 28, 64]",1,"cpu0",5.084,"vm.builtin.check_tensor_info",0.000235009
"float32[1, 6, 28, 64]",1,"cpu0",6.125,"vm.builtin.check_tensor_info",0.000283129
"float32[1, 6, 1500, 64]",1,"cpu0",5.208,"vm.builtin.check_tensor_info",0.000240741
"float32[1, 6, 1500, 64]",1,"cpu0",6.708,"vm.builtin.check_tensor_info",0.000310079
"int64[1, 1], int64[5]",1,"cpu0",10.042,"vm.builtin.match_shape",0.000464194
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.000346689
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",6.833,"vm.builtin.match_shape",0.000315857
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.959,"vm.builtin.match_shape",0.000321681
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.459,"vm.builtin.match_shape",0.000298569
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",7.792,"vm.builtin.match_shape",0.000360187
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",6.5,"vm.builtin.match_shape",0.000300464
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.292,"vm.builtin.match_shape",0.000337074
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.375,"vm.builtin.match_shape",0.000294686
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",6.375,"vm.builtin.match_shape",0.000294686
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",6.291,"vm.builtin.match_shape",0.000290803
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.792,"vm.builtin.match_shape",0.000360187
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.084,"vm.builtin.match_shape",0.000281234
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",6,"vm.builtin.match_shape",0.000277351
"float32[1, 6, 28, 64], int64[5]",1,"cpu0",6.876,"vm.builtin.match_shape",0.000317845
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000331296
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.209,"vm.builtin.match_shape",0.000333238
"int64[5]",1,"cpu0",7.042,"shape_func",0.000325518
"int64[1, 1]",1,"cpu0",16.376,"vm.builtin.reshape",0.000756984
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",17.292,"take",0.000799326
"int64[5]",1,"cpu0",9.875,"vm.builtin.make_shape",0.000456474
"float32[448, 384], float32[1, 384]",1,"cpu0",17.709,"vm.builtin.call_tir_dyn",0.000818602
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",14.876,"add",0.000687646
