Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",17.084,"vm.builtin.check_tensor_info",0.000793484
"float32[1, 6, 9, 64]",1,"cpu0",9.001,"vm.builtin.check_tensor_info",0.000418061
"float32[1, 6, 9, 64]",1,"cpu0",6.542,"vm.builtin.check_tensor_info",0.00030385
"float32[1, 6, 1500, 64]",1,"cpu0",5.167,"vm.builtin.check_tensor_info",0.000239987
"float32[1, 6, 1500, 64]",1,"cpu0",9.667,"vm.builtin.check_tensor_info",0.000448994
"float32[1, 6, 9, 64]",1,"cpu0",5.708,"vm.builtin.check_tensor_info",0.000265114
"float32[1, 6, 9, 64]",1,"cpu0",5.167,"vm.builtin.check_tensor_info",0.000239987
"float32[1, 6, 1500, 64]",1,"cpu0",5.126,"vm.builtin.check_tensor_info",0.000238082
"float32[1, 6, 1500, 64]",1,"cpu0",7,"vm.builtin.check_tensor_info",0.000325122
"float32[1, 6, 9, 64]",1,"cpu0",6,"vm.builtin.check_tensor_info",0.000278676
"float32[1, 6, 9, 64]",1,"cpu0",5.416,"vm.builtin.check_tensor_info",0.000251552
"float32[1, 6, 1500, 64]",1,"cpu0",5.292,"vm.builtin.check_tensor_info",0.000245792
"float32[1, 6, 1500, 64]",1,"cpu0",5.417,"vm.builtin.check_tensor_info",0.000251598
"float32[1, 6, 9, 64]",1,"cpu0",5.333,"vm.builtin.check_tensor_info",0.000247697
"float32[1, 6, 9, 64]",1,"cpu0",6.333,"vm.builtin.check_tensor_info",0.000294143
"float32[1, 6, 1500, 64]",1,"cpu0",4.959,"vm.builtin.check_tensor_info",0.000230326
"float32[1, 6, 1500, 64]",1,"cpu0",5.25,"vm.builtin.check_tensor_info",0.000243842
"int64[1, 1], int64[5]",1,"cpu0",9.5,"vm.builtin.match_shape",0.000441237
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.000348345
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.000348345
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.292,"vm.builtin.match_shape",0.000292238
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.125,"vm.builtin.match_shape",0.000284482
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",7.834,"vm.builtin.match_shape",0.000363858
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",6.376,"vm.builtin.match_shape",0.00029614
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.75,"vm.builtin.match_shape",0.000313511
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.125,"vm.builtin.match_shape",0.000284482
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",6.166,"vm.builtin.match_shape",0.000286386
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",6.251,"vm.builtin.match_shape",0.000290334
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.667,"vm.builtin.match_shape",0.000309656
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.042,"vm.builtin.match_shape",0.000280627
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",6.083,"vm.builtin.match_shape",0.000282531
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",7.084,"vm.builtin.match_shape",0.000329024
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.333,"vm.builtin.match_shape",0.000340589
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.876,"vm.builtin.match_shape",0.000365809
"int64[5]",1,"cpu0",7.75,"shape_func",0.000359957
"int64[1, 1]",1,"cpu0",16.626,"vm.builtin.reshape",0.000772212
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",18.25,"take",0.00084764
"int64[5]",1,"cpu0",10.958,"vm.builtin.make_shape",0.000508956
"float32[448, 384], float32[1, 384]",1,"cpu0",86.169,"vm.builtin.call_tir_dyn",0.00400221
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",15.834,"add",0.000735426
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",18.001,"mean",0.000836075
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",15.668,"subtract",0.000727716
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",13.584,"power",0.000630923
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",12.917,"mean",0.000599943
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.292,"add1",0.00038513
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",7.709,"tir_sqrt",0.000358052
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",17.876,"divide",0.000830269
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16.167,"multiply",0.000750893
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16.792,"add2",0.000779922
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4847.54,"matmul",0.225149
