Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",16.709,"vm.builtin.check_tensor_info",0.000772775
"float32[1, 6, 12, 64]",1,"cpu0",8.709,"vm.builtin.check_tensor_info",0.000402783
"float32[1, 6, 12, 64]",1,"cpu0",6.251,"vm.builtin.check_tensor_info",0.000289103
"float32[1, 6, 1500, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000265932
"float32[1, 6, 1500, 64]",1,"cpu0",8.501,"vm.builtin.check_tensor_info",0.000393163
"float32[1, 6, 12, 64]",1,"cpu0",7.667,"vm.builtin.check_tensor_info",0.000354591
"float32[1, 6, 12, 64]",1,"cpu0",5.208,"vm.builtin.check_tensor_info",0.000240865
"float32[1, 6, 1500, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000265932
"float32[1, 6, 1500, 64]",1,"cpu0",5.917,"vm.builtin.check_tensor_info",0.000273655
"float32[1, 6, 12, 64]",1,"cpu0",7.334,"vm.builtin.check_tensor_info",0.00033919
"float32[1, 6, 12, 64]",1,"cpu0",5.166,"vm.builtin.check_tensor_info",0.000238922
"float32[1, 6, 1500, 64]",1,"cpu0",5.626,"vm.builtin.check_tensor_info",0.000260197
"float32[1, 6, 1500, 64]",1,"cpu0",4.876,"vm.builtin.check_tensor_info",0.00022551
"float32[1, 6, 12, 64]",1,"cpu0",5.584,"vm.builtin.check_tensor_info",0.000258254
"float32[1, 6, 12, 64]",1,"cpu0",5.458,"vm.builtin.check_tensor_info",0.000252427
"float32[1, 6, 1500, 64]",1,"cpu0",5.292,"vm.builtin.check_tensor_info",0.00024475
"float32[1, 6, 1500, 64]",1,"cpu0",5.126,"vm.builtin.check_tensor_info",0.000237072
"int64[1, 1], int64[5]",1,"cpu0",10.584,"vm.builtin.match_shape",0.0004895
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",8.459,"vm.builtin.match_shape",0.00039122
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.25,"vm.builtin.match_shape",0.000335305
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.251,"vm.builtin.match_shape",0.000289103
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.417,"vm.builtin.match_shape",0.00029678
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",8.917,"vm.builtin.match_shape",0.000412402
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.334,"vm.builtin.match_shape",0.00033919
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.417,"vm.builtin.match_shape",0.00029678
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.459,"vm.builtin.match_shape",0.000298722
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",6.834,"vm.builtin.match_shape",0.000316066
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",6.042,"vm.builtin.match_shape",0.000279437
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.959,"vm.builtin.match_shape",0.000321847
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.167,"vm.builtin.match_shape",0.000285218
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",6.833,"vm.builtin.match_shape",0.00031602
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.208,"vm.builtin.match_shape",0.000333363
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000331467
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.501,"vm.builtin.match_shape",0.000393163
