Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",15.625,"vm.builtin.check_tensor_info",0.000768752
"float32[1, 6, 20, 64]",1,"cpu0",7.542,"vm.builtin.check_tensor_info",0.000371067
"float32[1, 6, 20, 64]",1,"cpu0",7.417,"vm.builtin.check_tensor_info",0.000364917
"float32[1, 6, 1500, 64]",1,"cpu0",6.708,"vm.builtin.check_tensor_info",0.000330034
"float32[1, 6, 1500, 64]",1,"cpu0",7.667,"vm.builtin.check_tensor_info",0.000377217
"float32[1, 6, 20, 64]",1,"cpu0",5.667,"vm.builtin.check_tensor_info",0.000278817
"float32[1, 6, 20, 64]",1,"cpu0",6.126,"vm.builtin.check_tensor_info",0.0003014
"float32[1, 6, 1500, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000282901
"float32[1, 6, 1500, 64]",1,"cpu0",6.376,"vm.builtin.check_tensor_info",0.0003137
"float32[1, 6, 20, 64]",1,"cpu0",6.25,"vm.builtin.check_tensor_info",0.000307501
"float32[1, 6, 20, 64]",1,"cpu0",6,"vm.builtin.check_tensor_info",0.000295201
"float32[1, 6, 1500, 64]",1,"cpu0",5.791,"vm.builtin.check_tensor_info",0.000284918
"float32[1, 6, 1500, 64]",1,"cpu0",6.084,"vm.builtin.check_tensor_info",0.000299334
"float32[1, 6, 20, 64]",1,"cpu0",5.5,"vm.builtin.check_tensor_info",0.000270601
"float32[1, 6, 20, 64]",1,"cpu0",6.001,"vm.builtin.check_tensor_info",0.00029525
"float32[1, 6, 1500, 64]",1,"cpu0",5.292,"vm.builtin.check_tensor_info",0.000260367
"float32[1, 6, 1500, 64]",1,"cpu0",5.959,"vm.builtin.check_tensor_info",0.000293184
"int64[1, 1], int64[5]",1,"cpu0",9.958,"vm.builtin.match_shape",0.000489935
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",8.334,"vm.builtin.match_shape",0.000410034
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.000369001
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.792,"vm.builtin.match_shape",0.000334167
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.376,"vm.builtin.match_shape",0.0003629
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",9.417,"vm.builtin.match_shape",0.000463318
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",6.709,"vm.builtin.match_shape",0.000330084
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.458,"vm.builtin.match_shape",0.000366935
