Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",14.834,"vm.builtin.check_tensor_info",0.00073124
"float32[1, 6, 3, 64]",1,"cpu0",8.291,"vm.builtin.check_tensor_info",0.000408704
"float32[1, 6, 3, 64]",1,"cpu0",6.5,"vm.builtin.check_tensor_info",0.000320417
"float32[1, 6, 1500, 64]",1,"cpu0",5.917,"vm.builtin.check_tensor_info",0.000291678
"float32[1, 6, 1500, 64]",1,"cpu0",11.417,"vm.builtin.check_tensor_info",0.000562799
"float32[1, 6, 3, 64]",1,"cpu0",6.001,"vm.builtin.check_tensor_info",0.000295818
"float32[1, 6, 3, 64]",1,"cpu0",6.25,"vm.builtin.check_tensor_info",0.000308093
"float32[1, 6, 1500, 64]",1,"cpu0",5.875,"vm.builtin.check_tensor_info",0.000289607
"float32[1, 6, 1500, 64]",1,"cpu0",5.833,"vm.builtin.check_tensor_info",0.000287537
"float32[1, 6, 3, 64]",1,"cpu0",5.625,"vm.builtin.check_tensor_info",0.000277284
"float32[1, 6, 3, 64]",1,"cpu0",5.626,"vm.builtin.check_tensor_info",0.000277333
"float32[1, 6, 1500, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000283445
"float32[1, 6, 1500, 64]",1,"cpu0",5.208,"vm.builtin.check_tensor_info",0.000256728
"float32[1, 6, 3, 64]",1,"cpu0",5.375,"vm.builtin.check_tensor_info",0.00026496
"float32[1, 6, 3, 64]",1,"cpu0",5.458,"vm.builtin.check_tensor_info",0.000269051
"float32[1, 6, 1500, 64]",1,"cpu0",5.375,"vm.builtin.check_tensor_info",0.00026496
"float32[1, 6, 1500, 64]",1,"cpu0",7.084,"vm.builtin.check_tensor_info",0.000349205
"int64[1, 1], int64[5]",1,"cpu0",10.25,"vm.builtin.match_shape",0.000505272
"float32[1, 6, 3, 64], int64[5]",1,"cpu0",8.041,"vm.builtin.match_shape",0.00039638
"float32[1, 6, 3, 64], int64[5]",1,"cpu0",6.792,"vm.builtin.match_shape",0.000334811
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7,"vm.builtin.match_shape",0.000345064
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7,"vm.builtin.match_shape",0.000345064
"float32[1, 6, 3, 64], int64[5]",1,"cpu0",7.251,"vm.builtin.match_shape",0.000357437
"float32[1, 6, 3, 64], int64[5]",1,"cpu0",6.833,"vm.builtin.match_shape",0.000336832
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.125,"vm.builtin.match_shape",0.000301931
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.25,"vm.builtin.match_shape",0.000308093
"float32[1, 6, 3, 64], int64[5]",1,"cpu0",6.376,"vm.builtin.match_shape",0.000314304
"float32[1, 6, 3, 64], int64[5]",1,"cpu0",6.041,"vm.builtin.match_shape",0.00029779
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.25,"vm.builtin.match_shape",0.000308093
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.875,"vm.builtin.match_shape",0.000388197
"float32[1, 6, 3, 64], int64[5]",1,"cpu0",7.542,"vm.builtin.match_shape",0.000371782
