Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",17.75,"vm.builtin.check_tensor_info",0.000851825
"float32[1, 6, 14, 64]",1,"cpu0",10.168,"vm.builtin.check_tensor_info",0.000487963
"float32[1, 6, 14, 64]",1,"cpu0",6.751,"vm.builtin.check_tensor_info",0.000323981
"float32[1, 6, 1500, 64]",1,"cpu0",7.167,"vm.builtin.check_tensor_info",0.000343945
"float32[1, 6, 1500, 64]",1,"cpu0",8.208,"vm.builtin.check_tensor_info",0.000393903
"float32[1, 6, 14, 64]",1,"cpu0",7.751,"vm.builtin.check_tensor_info",0.000371971
"float32[1, 6, 14, 64]",1,"cpu0",5.251,"vm.builtin.check_tensor_info",0.000251996
"float32[1, 6, 1500, 64]",1,"cpu0",5.334,"vm.builtin.check_tensor_info",0.000255979
"float32[1, 6, 1500, 64]",1,"cpu0",6,"vm.builtin.check_tensor_info",0.000287941
"float32[1, 6, 14, 64]",1,"cpu0",8.667,"vm.builtin.check_tensor_info",0.00041593
"float32[1, 6, 14, 64]",1,"cpu0",5.542,"vm.builtin.check_tensor_info",0.000265961
"float32[1, 6, 1500, 64]",1,"cpu0",5.5,"vm.builtin.check_tensor_info",0.000263946
"float32[1, 6, 1500, 64]",1,"cpu0",5.708,"vm.builtin.check_tensor_info",0.000273928
"float32[1, 6, 14, 64]",1,"cpu0",5.501,"vm.builtin.check_tensor_info",0.000263994
"float32[1, 6, 14, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000289956
"float32[1, 6, 1500, 64]",1,"cpu0",5.625,"vm.builtin.check_tensor_info",0.000269944
"float32[1, 6, 1500, 64]",1,"cpu0",5.751,"vm.builtin.check_tensor_info",0.000275991
"int64[1, 1], int64[5]",1,"cpu0",12.792,"vm.builtin.match_shape",0.00061389
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",10.251,"vm.builtin.match_shape",0.000491947
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",7.917,"vm.builtin.match_shape",0.000379938
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.333,"vm.builtin.match_shape",0.000399902
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.959,"vm.builtin.match_shape",0.000333963
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",9.459,"vm.builtin.match_shape",0.000453938
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",7.334,"vm.builtin.match_shape",0.00035196
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.542,"vm.builtin.match_shape",0.000313951
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.584,"vm.builtin.match_shape",0.000315967
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",6.25,"vm.builtin.match_shape",0.000299938
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",6.459,"vm.builtin.match_shape",0.000309968
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.959,"vm.builtin.match_shape",0.000333963
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.75,"vm.builtin.match_shape",0.000323933
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",6.209,"vm.builtin.match_shape",0.000297971
"float32[1, 6, 14, 64], int64[5]",1,"cpu0",7.125,"vm.builtin.match_shape",0.00034193
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.000359926
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.917,"vm.builtin.match_shape",0.000427928
"int64[5]",1,"cpu0",7.75,"shape_func",0.000371923
"int64[1, 1]",1,"cpu0",17.459,"vm.builtin.reshape",0.000837859
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",16.834,"take",0.000807866
"int64[5]",1,"cpu0",11.667,"vm.builtin.make_shape",0.000559901
"float32[448, 384], float32[1, 384]",1,"cpu0",20.335,"vm.builtin.call_tir_dyn",0.000975879
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",15.042,"add",0.000721867
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",17.75,"mean",0.000851825
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",13.792,"subtract",0.00066188
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",14.001,"power",0.00067191
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",12.959,"mean",0.000621904
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.167,"add1",0.000391935
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",9.25,"tir_sqrt",0.000443909
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.001,"divide",0.00086387
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",15.792,"multiply",0.00075786
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.834,"add2",0.000855856
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4849.1,"matmul",0.232709
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",31.459,"add3",0.00150972
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4816.89,"matmul",0.231163
"float32[1, 1, 384]",1,"cpu0",28.585,"vm.builtin.reshape",0.0013718
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4851.23,"matmul",0.232811
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",23.126,"add3",0.00110982
"float32[1, 1, 384]",1,"cpu0",19.334,"vm.builtin.reshape",0.000927841
"float32[1, 1, 6, 64]",1,"cpu0",15.208,"vm.builtin.reshape",0.000729834
"float32[1, 1, 6, 64]",1,"cpu0",9.417,"vm.builtin.reshape",0.000451923
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",16.709,"multiply1",0.000801867
"float32[1, 1, 384]",1,"cpu0",11.375,"vm.builtin.reshape",0.000545888
"float32[1, 1, 6, 64]",1,"cpu0",9.375,"vm.builtin.reshape",0.000449907
"int64[5]",1,"cpu0",17.043,"vm.builtin.make_shape",0.000817896
"int64[5]",1,"cpu0",14.376,"vm.builtin.make_shape",0.000689906
"float32[1, 6, 14, 64], float32[1, 6, 1, 64], float32[1, 6, 15, 64]",1,"cpu0",34.335,"concatenate",0.00164774
"int64[5]",1,"cpu0",11.25,"vm.builtin.make_shape",0.000539889
"int64[5]",1,"cpu0",12.625,"vm.builtin.make_shape",0.000605875
"float32[1, 6, 14, 64], float32[1, 6, 1, 64], float32[1, 6, 15, 64]",1,"cpu0",26.626,"concatenate",0.00127778
"int64[5]",1,"cpu0",12.708,"vm.builtin.make_shape",0.000609858
"float32[1, 6, 15, 64]",1,"cpu0",13.167,"vm.builtin.reshape",0.000631886
"float32[1, 6, 1, 64]",1,"cpu0",9.001,"vm.builtin.reshape",0.000431959
"int64[5]",1,"cpu0",8.75,"vm.builtin.make_shape",0.000419914
"int64[5]",1,"cpu0",9.459,"vm.builtin.make_shape",0.000453938
"int64[5]",1,"cpu0",7.792,"vm.builtin.make_shape",0.000373939
"float32[6, 15, 64], float32[6, 64, 15]",1,"cpu0",132.547,"vm.builtin.call_tir_dyn",0.00636095
"int64[5]",1,"cpu0",14.334,"vm.builtin.make_shape",0.00068789
"int64[5]",1,"cpu0",10.292,"vm.builtin.make_shape",0.000493914
"int64[5]",1,"cpu0",8.501,"vm.builtin.make_shape",0.000407964
"float32[6, 1, 64], float32[6, 64, 15], float32[6, 1, 15]",1,"cpu0",163.09,"vm.builtin.call_tir_dyn",0.00782671
"int64[5]",1,"cpu0",10.25,"vm.builtin.make_shape",0.000491899
"int64[5]",1,"cpu0",9.376,"vm.builtin.make_shape",0.000449955
"int64[5]",1,"cpu0",7.833,"vm.builtin.make_shape",0.000375907
"float32[6, 1, 15], float32[6, 1, 15]",1,"cpu0",49.293,"vm.builtin.call_tir_dyn",0.00236558
"int64[5]",1,"cpu0",9.042,"vm.builtin.make_shape",0.000433927
"float32[1, 6, 15, 64]",1,"cpu0",11.625,"vm.builtin.reshape",0.000557885
"int64[5]",1,"cpu0",8.209,"vm.builtin.make_shape",0.000393951
"float32[6, 1, 15], float32[6, 15, 64], float32[6, 1, 64]",1,"cpu0",175.465,"vm.builtin.call_tir_dyn",0.00842059
"float32[6, 1, 64]",1,"cpu0",12.792,"vm.builtin.reshape",0.00061389
"float32[1, 6, 1, 64]",1,"cpu0",8.167,"vm.builtin.reshape",0.000391935
"float32[1, 1, 6, 64]",1,"cpu0",9.292,"vm.builtin.reshape",0.000445924
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4831.19,"matmul",0.231849
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",27.793,"add3",0.00133379
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",19.418,"add4",0.000931872
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",20.959,"mean",0.00100582
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",15.292,"subtract",0.000733865
