Name,Total Duration (us),Total Count
fused_relax_matmul3_bananapi,147443080.0,12
fused_relax_matmul4_bananapi,98539345.5,8
fused_relax_matmul_bananapi,98322985.72999996,40
fused_relax_matmul1_bananapi,97803895.52399999,8
fused_relax_matmul2_bananapi,95610797.38399999,8
matmul7,37862150.0,37
matmul5,22183161.0,148
conv1d1,16463700.0,1
softmax,6640772.960000001,8
conv1d,5115000.0,1
matmul,4336043.640000015,888
matmul3,4084533.7999999993,148
matmul6,3258266.600000001,148
matmul4,2280939.4,148
transpose3,1539283.9400000013,160
erf2,1138162.0,4
fused_relax_matmul8_bananapi,705616.0,1
mean,233433.8979999963,1006
softmax1,177240.53999999992,152
add9,153106.0,4
add7,152706.31199999998,20
multiply6,146834.7,4
multiply7,128107.20000000001,4
add10,127867.7,4
divide3,127852.40000000001,4
add6,125365.04800000046,161
divide2,124581.2,9
erf,123180.27999999994,153
vm.builtin.call_tir_dyn,98325.60599999997,629
subtract,90603.5100000012,503
fused_relax_matmul6_bananapi,86097.20000000001,4
power,86011.48400000119,503
multiply4,79591.44999999998,9
fused_relax_matmul7_bananapi,78599.1,4
add8,74250.77500000002,12
fused_relax_matmul5_bananapi,67278.0,4
erf1,55526.1,1
vm.builtin.reshape,45574.13300000029,3130
transpose2,41912.6,4
transpose4,40843.6,4
add3,33219.72800000011,913
multiply5,32074.45,4
multiply,27426.422000000064,495
divide,26022.952000000052,495
transpose,23979.0,1
transpose1,23922.56,12
vm.builtin.make_shape,23346.315000000133,2072
multiply1,21503.366000000067,305
add1,20779.190000000035,495
add4,18796.638000000035,449
add2,17167.004000000074,495
add,16897.321000000004,39
multiply2,14334.755999999976,153
divide1,13055.028999999997,153
concatenate,12906.458999999988,296
multiply3,12765.118999999993,153
vm.builtin.match_shape,8459.472000000022,928
add5,6869.759,169
tir_sqrt,5152.277999999995,503
vm.builtin.check_tensor_info,4771.062999999996,632
vm.builtin.make_tuple,1523.8469999999995,38
take,658.8199999999998,38
shape_func,285.013,37
