Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",20.626,"vm.builtin.check_tensor_info",0.000991008
"float32[1, 6, 21, 64]",1,"cpu0",9.084,"vm.builtin.check_tensor_info",0.000436455
"float32[1, 6, 21, 64]",1,"cpu0",9.208,"vm.builtin.check_tensor_info",0.000442413
"float32[1, 6, 1500, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000276268
"float32[1, 6, 1500, 64]",1,"cpu0",12.001,"vm.builtin.check_tensor_info",0.000576607
"float32[1, 6, 21, 64]",1,"cpu0",7.25,"vm.builtin.check_tensor_info",0.000348337
"float32[1, 6, 21, 64]",1,"cpu0",6.25,"vm.builtin.check_tensor_info",0.000300291
"float32[1, 6, 1500, 64]",1,"cpu0",6.125,"vm.builtin.check_tensor_info",0.000294285
"float32[1, 6, 1500, 64]",1,"cpu0",7.292,"vm.builtin.check_tensor_info",0.000350355
"float32[1, 6, 21, 64]",1,"cpu0",7.667,"vm.builtin.check_tensor_info",0.000368373
"float32[1, 6, 21, 64]",1,"cpu0",5.583,"vm.builtin.check_tensor_info",0.000268244
"float32[1, 6, 1500, 64]",1,"cpu0",5.542,"vm.builtin.check_tensor_info",0.000266274
"float32[1, 6, 1500, 64]",1,"cpu0",5.959,"vm.builtin.check_tensor_info",0.000286309
"float32[1, 6, 21, 64]",1,"cpu0",5.875,"vm.builtin.check_tensor_info",0.000282273
"float32[1, 6, 21, 64]",1,"cpu0",6.251,"vm.builtin.check_tensor_info",0.000300339
"float32[1, 6, 1500, 64]",1,"cpu0",5.417,"vm.builtin.check_tensor_info",0.000260268
"float32[1, 6, 1500, 64]",1,"cpu0",5.583,"vm.builtin.check_tensor_info",0.000268244
"int64[1, 1], int64[5]",1,"cpu0",13.167,"vm.builtin.match_shape",0.000632629
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",9.792,"vm.builtin.match_shape",0.000470472
