Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",15.751,"vm.builtin.check_tensor_info",0.000774172
"float32[1, 6, 20, 64]",1,"cpu0",8,"vm.builtin.check_tensor_info",0.000393205
"float32[1, 6, 20, 64]",1,"cpu0",6.792,"vm.builtin.check_tensor_info",0.000333831
"float32[1, 6, 1500, 64]",1,"cpu0",6.125,"vm.builtin.check_tensor_info",0.000301048
"float32[1, 6, 1500, 64]",1,"cpu0",6.875,"vm.builtin.check_tensor_info",0.000337911
"float32[1, 6, 20, 64]",1,"cpu0",6.542,"vm.builtin.check_tensor_info",0.000321544
"float32[1, 6, 20, 64]",1,"cpu0",5.667,"vm.builtin.check_tensor_info",0.000278537
"float32[1, 6, 1500, 64]",1,"cpu0",5.333,"vm.builtin.check_tensor_info",0.00026212
"float32[1, 6, 1500, 64]",1,"cpu0",6.833,"vm.builtin.check_tensor_info",0.000335846
"float32[1, 6, 20, 64]",1,"cpu0",7.333,"vm.builtin.check_tensor_info",0.000360422
"float32[1, 6, 20, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000282616
"float32[1, 6, 1500, 64]",1,"cpu0",5.709,"vm.builtin.check_tensor_info",0.000280601
"float32[1, 6, 1500, 64]",1,"cpu0",5.584,"vm.builtin.check_tensor_info",0.000274457
"float32[1, 6, 20, 64]",1,"cpu0",5.5,"vm.builtin.check_tensor_info",0.000270329
"float32[1, 6, 20, 64]",1,"cpu0",6,"vm.builtin.check_tensor_info",0.000294904
"float32[1, 6, 1500, 64]",1,"cpu0",5.791,"vm.builtin.check_tensor_info",0.000284631
"float32[1, 6, 1500, 64]",1,"cpu0",6.75,"vm.builtin.check_tensor_info",0.000331767
"int64[1, 1], int64[5]",1,"cpu0",9.75,"vm.builtin.match_shape",0.000479219
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",10.042,"vm.builtin.match_shape",0.000493571
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",7.292,"vm.builtin.match_shape",0.000358407
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.959,"vm.builtin.match_shape",0.000342039
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.5,"vm.builtin.match_shape",0.000319479
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",7.792,"vm.builtin.match_shape",0.000382982
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",7.125,"vm.builtin.match_shape",0.000350198
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000352263
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.833,"vm.builtin.match_shape",0.000335846
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",6.542,"vm.builtin.match_shape",0.000321544
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",6.042,"vm.builtin.match_shape",0.000296968
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.375,"vm.builtin.match_shape",0.000362486
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.459,"vm.builtin.match_shape",0.000317464
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",7.542,"vm.builtin.match_shape",0.000370694
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",8.459,"vm.builtin.match_shape",0.000415765
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.291,"vm.builtin.match_shape",0.000358357
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.166,"vm.builtin.match_shape",0.000352214
"int64[5]",1,"cpu0",7.5,"shape_func",0.00036863
"int64[1, 1]",1,"cpu0",15.709,"vm.builtin.reshape",0.000772108
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",17.584,"take",0.000864265
"int64[5]",1,"cpu0",9,"vm.builtin.make_shape",0.000442356
"float32[448, 384], float32[1, 384]",1,"cpu0",20.834,"vm.builtin.call_tir_dyn",0.001024
