Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",14.542,"vm.builtin.check_tensor_info",0.000714607
"float32[1, 6, 16, 64]",1,"cpu0",9.042,"vm.builtin.check_tensor_info",0.000444332
"float32[1, 6, 16, 64]",1,"cpu0",6.5,"vm.builtin.check_tensor_info",0.000319416
"float32[1, 6, 1500, 64]",1,"cpu0",5.709,"vm.builtin.check_tensor_info",0.000280546
"float32[1, 6, 1500, 64]",1,"cpu0",8.042,"vm.builtin.check_tensor_info",0.000395191
"float32[1, 6, 16, 64]",1,"cpu0",8.208,"vm.builtin.check_tensor_info",0.000403349
"float32[1, 6, 16, 64]",1,"cpu0",6.084,"vm.builtin.check_tensor_info",0.000298973
"float32[1, 6, 1500, 64]",1,"cpu0",5.625,"vm.builtin.check_tensor_info",0.000276418
"float32[1, 6, 1500, 64]",1,"cpu0",6.667,"vm.builtin.check_tensor_info",0.000327623
"float32[1, 6, 16, 64]",1,"cpu0",5.958,"vm.builtin.check_tensor_info",0.000292782
"float32[1, 6, 16, 64]",1,"cpu0",5.459,"vm.builtin.check_tensor_info",0.00026826
"float32[1, 6, 1500, 64]",1,"cpu0",5.209,"vm.builtin.check_tensor_info",0.000255975
"float32[1, 6, 1500, 64]",1,"cpu0",5.375,"vm.builtin.check_tensor_info",0.000264132
"float32[1, 6, 16, 64]",1,"cpu0",5.209,"vm.builtin.check_tensor_info",0.000255975
"float32[1, 6, 16, 64]",1,"cpu0",5.792,"vm.builtin.check_tensor_info",0.000284624
"float32[1, 6, 1500, 64]",1,"cpu0",5.375,"vm.builtin.check_tensor_info",0.000264132
"float32[1, 6, 1500, 64]",1,"cpu0",5.25,"vm.builtin.check_tensor_info",0.00025799
"int64[1, 1], int64[5]",1,"cpu0",10.375,"vm.builtin.match_shape",0.000509837
"float32[1, 6, 16, 64], int64[5]",1,"cpu0",7.876,"vm.builtin.match_shape",0.000387034
"float32[1, 6, 16, 64], int64[5]",1,"cpu0",7.834,"vm.builtin.match_shape",0.00038497
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.458,"vm.builtin.match_shape",0.000317352
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.917,"vm.builtin.match_shape",0.000339908
"float32[1, 6, 16, 64], int64[5]",1,"cpu0",8,"vm.builtin.match_shape",0.000393127
"float32[1, 6, 16, 64], int64[5]",1,"cpu0",6.542,"vm.builtin.match_shape",0.00032148
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.334,"vm.builtin.match_shape",0.000311259
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.25,"vm.builtin.match_shape",0.000307131
"float32[1, 6, 16, 64], int64[5]",1,"cpu0",6.251,"vm.builtin.match_shape",0.00030718
