Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",15.917,"vm.builtin.check_tensor_info",0.000778014
"float32[1, 6, 32, 64]",1,"cpu0",8.875,"vm.builtin.check_tensor_info",0.000433805
"float32[1, 6, 32, 64]",1,"cpu0",7.334,"vm.builtin.check_tensor_info",0.000358482
"float32[1, 6, 1500, 64]",1,"cpu0",6.375,"vm.builtin.check_tensor_info",0.000311606
"float32[1, 6, 1500, 64]",1,"cpu0",7.125,"vm.builtin.check_tensor_info",0.000348266
"float32[1, 6, 32, 64]",1,"cpu0",7.459,"vm.builtin.check_tensor_info",0.000364592
"float32[1, 6, 32, 64]",1,"cpu0",6.167,"vm.builtin.check_tensor_info",0.000301439
"float32[1, 6, 1500, 64]",1,"cpu0",6.501,"vm.builtin.check_tensor_info",0.000317765
"float32[1, 6, 1500, 64]",1,"cpu0",6.834,"vm.builtin.check_tensor_info",0.000334042
"float32[1, 6, 32, 64]",1,"cpu0",7.542,"vm.builtin.check_tensor_info",0.000368649
"float32[1, 6, 32, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000281057
"float32[1, 6, 1500, 64]",1,"cpu0",6,"vm.builtin.check_tensor_info",0.000293277
"float32[1, 6, 1500, 64]",1,"cpu0",5.667,"vm.builtin.check_tensor_info",0.000277
"float32[1, 6, 32, 64]",1,"cpu0",5.833,"vm.builtin.check_tensor_info",0.000285114
"float32[1, 6, 32, 64]",1,"cpu0",6.167,"vm.builtin.check_tensor_info",0.000301439
"float32[1, 6, 1500, 64]",1,"cpu0",5.875,"vm.builtin.check_tensor_info",0.000287167
"float32[1, 6, 1500, 64]",1,"cpu0",6.917,"vm.builtin.check_tensor_info",0.000338099
"int64[1, 1], int64[5]",1,"cpu0",9.709,"vm.builtin.match_shape",0.00047457
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",9.208,"vm.builtin.match_shape",0.000450082
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",8.417,"vm.builtin.match_shape",0.000411418
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.542,"vm.builtin.match_shape",0.000368649
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.75,"vm.builtin.match_shape",0.000329936
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",8.459,"vm.builtin.match_shape",0.000413471
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.208,"vm.builtin.match_shape",0.000352323
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.251,"vm.builtin.match_shape",0.000354425
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.833,"vm.builtin.match_shape",0.000333993
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.542,"vm.builtin.match_shape",0.000368649
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",6.501,"vm.builtin.match_shape",0.000317765
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.292,"vm.builtin.match_shape",0.000356429
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.125,"vm.builtin.match_shape",0.000348266
"float32[1, 6, 32, 64], int64[5]",1,"cpu0",7.084,"vm.builtin.match_shape",0.000346262
