Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",18.959,"vm.builtin.check_tensor_info",0.000895231
"float32[1, 6, 20, 64]",1,"cpu0",9.084,"vm.builtin.check_tensor_info",0.00042894
"float32[1, 6, 20, 64]",1,"cpu0",7.625,"vm.builtin.check_tensor_info",0.000360047
"float32[1, 6, 1500, 64]",1,"cpu0",6.125,"vm.builtin.check_tensor_info",0.000289218
"float32[1, 6, 1500, 64]",1,"cpu0",8.125,"vm.builtin.check_tensor_info",0.000383657
"float32[1, 6, 20, 64]",1,"cpu0",5.958,"vm.builtin.check_tensor_info",0.000281333
"float32[1, 6, 20, 64]",1,"cpu0",11.459,"vm.builtin.check_tensor_info",0.000541086
"float32[1, 6, 1500, 64]",1,"cpu0",5.583,"vm.builtin.check_tensor_info",0.000263625
"float32[1, 6, 1500, 64]",1,"cpu0",6.126,"vm.builtin.check_tensor_info",0.000289265
"float32[1, 6, 20, 64]",1,"cpu0",7.458,"vm.builtin.check_tensor_info",0.000352161
"float32[1, 6, 20, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000271511
"float32[1, 6, 1500, 64]",1,"cpu0",6.25,"vm.builtin.check_tensor_info",0.000295121
"float32[1, 6, 1500, 64]",1,"cpu0",6.334,"vm.builtin.check_tensor_info",0.000299087
"float32[1, 6, 20, 64]",1,"cpu0",5.5,"vm.builtin.check_tensor_info",0.000259706
"float32[1, 6, 20, 64]",1,"cpu0",6,"vm.builtin.check_tensor_info",0.000283316
"float32[1, 6, 1500, 64]",1,"cpu0",5.25,"vm.builtin.check_tensor_info",0.000247901
"float32[1, 6, 1500, 64]",1,"cpu0",5.959,"vm.builtin.check_tensor_info",0.00028138
"int64[1, 1], int64[5]",1,"cpu0",11.251,"vm.builtin.match_shape",0.000531264
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",9.834,"vm.builtin.match_shape",0.000464355
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",8.292,"vm.builtin.match_shape",0.000391542
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.042,"vm.builtin.match_shape",0.000379738
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.875,"vm.builtin.match_shape",0.000324633
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",8.208,"vm.builtin.match_shape",0.000387576
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",7.542,"vm.builtin.match_shape",0.000356128
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.667,"vm.builtin.match_shape",0.000314811
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.959,"vm.builtin.match_shape",0.000328599
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",6.542,"vm.builtin.match_shape",0.000308909
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",6.667,"vm.builtin.match_shape",0.000314811
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.626,"vm.builtin.match_shape",0.000360094
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.501,"vm.builtin.match_shape",0.000306973
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",6.375,"vm.builtin.match_shape",0.000301023
"float32[1, 6, 20, 64], int64[5]",1,"cpu0",7.126,"vm.builtin.match_shape",0.000336485
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.958,"vm.builtin.match_shape",0.000375771
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.25,"vm.builtin.match_shape",0.000389559
"int64[5]",1,"cpu0",7.083,"shape_func",0.000334454
"int64[1, 1]",1,"cpu0",15.334,"vm.builtin.reshape",0.000724061
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",15.793,"take",0.000745734
"int64[5]",1,"cpu0",12.833,"vm.builtin.make_shape",0.000605965
"float32[448, 384], float32[1, 384]",1,"cpu0",17.001,"vm.builtin.call_tir_dyn",0.000802775
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",15.418,"add",0.000728027
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",16.5,"mean",0.000779118
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",15.834,"subtract",0.00074767
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",14.543,"power",0.00068671
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",13.626,"mean",0.00064341
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",9.5,"add1",0.000448583
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",7.5,"tir_sqrt",0.000354145
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",17.667,"divide",0.000834223
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16.376,"multiply",0.000773263
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",18.5,"add2",0.000873557
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4821.09,"matmul",0.227648
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",31.168,"add3",0.00147173
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4805.05,"matmul",0.226891
"float32[1, 1, 384]",1,"cpu0",30.459,"vm.builtin.reshape",0.00143825
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4848.71,"matmul",0.228953
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",28.709,"add3",0.00135562
"float32[1, 1, 384]",1,"cpu0",17.959,"vm.builtin.reshape",0.000848011
"float32[1, 1, 6, 64]",1,"cpu0",12.168,"vm.builtin.reshape",0.000574564
"float32[1, 1, 6, 64]",1,"cpu0",9.708,"vm.builtin.reshape",0.000458405
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",16.834,"multiply1",0.00079489
"float32[1, 1, 384]",1,"cpu0",8.542,"vm.builtin.reshape",0.000403347
"float32[1, 1, 6, 64]",1,"cpu0",7.917,"vm.builtin.reshape",0.000373835
"int64[5]",1,"cpu0",17.25,"vm.builtin.make_shape",0.000814533
"int64[5]",1,"cpu0",12.709,"vm.builtin.make_shape",0.00060011
"float32[1, 6, 20, 64], float32[1, 6, 1, 64], float32[1, 6, 21, 64]",1,"cpu0",38.126,"concatenate",0.00180028
"int64[5]",1,"cpu0",10.917,"vm.builtin.make_shape",0.000515493
"int64[5]",1,"cpu0",12.709,"vm.builtin.make_shape",0.00060011
"float32[1, 6, 20, 64], float32[1, 6, 1, 64], float32[1, 6, 21, 64]",1,"cpu0",29.293,"concatenate",0.00138319
"int64[5]",1,"cpu0",10.042,"vm.builtin.make_shape",0.000474176
"float32[1, 6, 21, 64]",1,"cpu0",12.668,"vm.builtin.reshape",0.000598174
"float32[1, 6, 1, 64]",1,"cpu0",8.292,"vm.builtin.reshape",0.000391542
"int64[5]",1,"cpu0",8.834,"vm.builtin.make_shape",0.000417135
"int64[5]",1,"cpu0",9.333,"vm.builtin.make_shape",0.000440698
"int64[5]",1,"cpu0",7.917,"vm.builtin.make_shape",0.000373835
"float32[6, 21, 64], float32[6, 64, 21]",1,"cpu0",159.839,"vm.builtin.call_tir_dyn",0.00754748
"int64[5]",1,"cpu0",9.167,"vm.builtin.make_shape",0.000432859
"int64[5]",1,"cpu0",11.333,"vm.builtin.make_shape",0.000535136
"int64[5]",1,"cpu0",8.292,"vm.builtin.make_shape",0.000391542
"float32[6, 1, 64], float32[6, 64, 21], float32[6, 1, 21]",1,"cpu0",230.633,"vm.builtin.call_tir_dyn",0.0108903
"int64[5]",1,"cpu0",9.375,"vm.builtin.make_shape",0.000442681
"int64[5]",1,"cpu0",8.251,"vm.builtin.make_shape",0.000389606
"int64[5]",1,"cpu0",6.875,"vm.builtin.make_shape",0.000324633
"float32[6, 1, 21], float32[6, 1, 21]",1,"cpu0",56.711,"vm.builtin.call_tir_dyn",0.00267785
"int64[5]",1,"cpu0",11.292,"vm.builtin.make_shape",0.0005332
"float32[1, 6, 21, 64]",1,"cpu0",11.501,"vm.builtin.reshape",0.000543069
"int64[5]",1,"cpu0",8.125,"vm.builtin.make_shape",0.000383657
"float32[6, 1, 21], float32[6, 21, 64], float32[6, 1, 64]",1,"cpu0",226.633,"vm.builtin.call_tir_dyn",0.0107014
"float32[6, 1, 64]",1,"cpu0",8.917,"vm.builtin.reshape",0.000421054
"float32[1, 6, 1, 64]",1,"cpu0",7.208,"vm.builtin.reshape",0.000340357
"float32[1, 1, 6, 64]",1,"cpu0",11.334,"vm.builtin.reshape",0.000535183
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4936.97,"matmul",0.23312
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",26.251,"add3",0.00123955
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",20.417,"add4",0.000964076
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",19.959,"mean",0.00094245
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",19.084,"subtract",0.000901133
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",18.625,"power",0.000879459
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",14.084,"mean",0.000665037
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.042,"add1",0.000379738
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",7.542,"tir_sqrt",0.000356128
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.626,"divide",0.000879507
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16.459,"multiply",0.000777182
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.334,"add2",0.000818499
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4810.09,"matmul",0.227129
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",23.959,"add3",0.00113133
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",17.125,"multiply1",0.00080863
"float32[1, 1, 384]",1,"cpu0",16.709,"vm.builtin.reshape",0.000788987
"float32[1, 1, 6, 64]",1,"cpu0",11.667,"vm.builtin.reshape",0.000550907
"float32[1, 6, 1500, 64]",1,"cpu0",14.542,"vm.builtin.reshape",0.000686663
"float32[1, 6, 1, 64]",1,"cpu0",10.292,"vm.builtin.reshape",0.000485981
"float32[6, 1500, 64], float32[6, 64, 1500]",1,"cpu0",10205.2,"transpose3",0.48188
"float32[6, 1, 64], float32[6, 64, 1500], float32[6, 1, 1500]",1,"cpu0",27708.1,"matmul3",1.30836
"float32[6, 1, 1500], float32[6, 1, 1500]",1,"cpu0",1119.04,"softmax1",0.0528403
"float32[1, 6, 1500, 64]",1,"cpu0",26.876,"vm.builtin.reshape",0.00126907
"float32[6, 1, 1500], float32[6, 1500, 64], float32[6, 1, 64]",1,"cpu0",15518.6,"matmul4",0.732779
"float32[6, 1, 64]",1,"cpu0",25.167,"vm.builtin.reshape",0.00118837
"float32[1, 6, 1, 64]",1,"cpu0",12.25,"vm.builtin.reshape",0.000578436
"float32[1, 1, 6, 64]",1,"cpu0",11.792,"vm.builtin.reshape",0.00055681
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4812.8,"matmul",0.227257
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",26.834,"add3",0.00126708
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",22.543,"add4",0.00106446
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",19.917,"mean",0.000940467
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",16.625,"subtract",0.000785021
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",14.292,"power",0.000674858
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",62.293,"mean",0.00294143
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",9.292,"add1",0.000438762
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",9.334,"tir_sqrt",0.000440745
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",19.126,"divide",0.000903116
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",18.376,"multiply",0.000867702
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.459,"add2",0.000824402
"float32[1, 1, 384], float32[384, 1536], float32[1, 1, 1536]",1,"cpu0",149539,"matmul5",7.06112
"float32[1536], float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",35.834,"add5",0.00169206
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",31.334,"divide1",0.00147957
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",259.8,"erf",0.0122676
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",28.668,"add6",0.00135368
