Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",15.417,"vm.builtin.check_tensor_info",0.000755273
"float32[1, 6, 4, 64]",1,"cpu0",8.042,"vm.builtin.check_tensor_info",0.000393975
"float32[1, 6, 4, 64]",1,"cpu0",7.292,"vm.builtin.check_tensor_info",0.000357232
"float32[1, 6, 1500, 64]",1,"cpu0",6.25,"vm.builtin.check_tensor_info",0.000306185
"float32[1, 6, 1500, 64]",1,"cpu0",7.417,"vm.builtin.check_tensor_info",0.000363356
"float32[1, 6, 4, 64]",1,"cpu0",5.625,"vm.builtin.check_tensor_info",0.000275567
"float32[1, 6, 4, 64]",1,"cpu0",5.751,"vm.builtin.check_tensor_info",0.000281739
"float32[1, 6, 1500, 64]",1,"cpu0",5.626,"vm.builtin.check_tensor_info",0.000275616
"float32[1, 6, 1500, 64]",1,"cpu0",5.792,"vm.builtin.check_tensor_info",0.000283748
"float32[1, 6, 4, 64]",1,"cpu0",5.625,"vm.builtin.check_tensor_info",0.000275567
"float32[1, 6, 4, 64]",1,"cpu0",5.625,"vm.builtin.check_tensor_info",0.000275567
"float32[1, 6, 1500, 64]",1,"cpu0",6.417,"vm.builtin.check_tensor_info",0.000314366
"float32[1, 6, 1500, 64]",1,"cpu0",5.459,"vm.builtin.check_tensor_info",0.000267434
"float32[1, 6, 4, 64]",1,"cpu0",5.001,"vm.builtin.check_tensor_info",0.000244997
"float32[1, 6, 4, 64]",1,"cpu0",6.459,"vm.builtin.check_tensor_info",0.000316424
"float32[1, 6, 1500, 64]",1,"cpu0",6.417,"vm.builtin.check_tensor_info",0.000314366
"float32[1, 6, 1500, 64]",1,"cpu0",6.125,"vm.builtin.check_tensor_info",0.000300062
"int64[1, 1], int64[5]",1,"cpu0",10.5,"vm.builtin.match_shape",0.000514391
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",8.334,"vm.builtin.match_shape",0.00040828
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",8.583,"vm.builtin.match_shape",0.000420478
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.834,"vm.builtin.match_shape",0.000334795
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.458,"vm.builtin.match_shape",0.000365365
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",8.25,"vm.builtin.match_shape",0.000404165
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",6.334,"vm.builtin.match_shape",0.0003103
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.25,"vm.builtin.match_shape",0.000306185
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.833,"vm.builtin.match_shape",0.000334746
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",7.834,"vm.builtin.match_shape",0.000383785
