Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",15.459,"vm.builtin.check_tensor_info",0.000731085
"float32[1, 6, 23, 64]",1,"cpu0",8.25,"vm.builtin.check_tensor_info",0.000390158
"float32[1, 6, 23, 64]",1,"cpu0",7.709,"vm.builtin.check_tensor_info",0.000364573
"float32[1, 6, 1500, 64]",1,"cpu0",6.917,"vm.builtin.check_tensor_info",0.000327118
"float32[1, 6, 1500, 64]",1,"cpu0",9.542,"vm.builtin.check_tensor_info",0.000451259
"float32[1, 6, 23, 64]",1,"cpu0",6.792,"vm.builtin.check_tensor_info",0.000321206
"float32[1, 6, 23, 64]",1,"cpu0",5.584,"vm.builtin.check_tensor_info",0.000264078
"float32[1, 6, 1500, 64]",1,"cpu0",6.583,"vm.builtin.check_tensor_info",0.000311322
"float32[1, 6, 1500, 64]",1,"cpu0",7.917,"vm.builtin.check_tensor_info",0.00037441
"float32[1, 6, 23, 64]",1,"cpu0",5.917,"vm.builtin.check_tensor_info",0.000279826
"float32[1, 6, 23, 64]",1,"cpu0",5.459,"vm.builtin.check_tensor_info",0.000258166
"float32[1, 6, 1500, 64]",1,"cpu0",6.209,"vm.builtin.check_tensor_info",0.000293635
"float32[1, 6, 1500, 64]",1,"cpu0",6.875,"vm.builtin.check_tensor_info",0.000325132
"float32[1, 6, 23, 64]",1,"cpu0",5.459,"vm.builtin.check_tensor_info",0.000258166
"float32[1, 6, 23, 64]",1,"cpu0",6.375,"vm.builtin.check_tensor_info",0.000301486
"float32[1, 6, 1500, 64]",1,"cpu0",5.458,"vm.builtin.check_tensor_info",0.000258119
"float32[1, 6, 1500, 64]",1,"cpu0",6.251,"vm.builtin.check_tensor_info",0.000295621
"int64[1, 1], int64[5]",1,"cpu0",12.208,"vm.builtin.match_shape",0.000577339
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",8.417,"vm.builtin.match_shape",0.000398056
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",7.833,"vm.builtin.match_shape",0.000370437
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.334,"vm.builtin.match_shape",0.000346839
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.375,"vm.builtin.match_shape",0.000301486
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",8.167,"vm.builtin.match_shape",0.000386233
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",6.917,"vm.builtin.match_shape",0.000327118
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.5,"vm.builtin.match_shape",0.000307397
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.376,"vm.builtin.match_shape",0.000301533
"float32[1, 6, 23, 64], int64[5]",1,"cpu0",6.667,"vm.builtin.match_shape",0.000315295
