Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",15.084,"vm.builtin.check_tensor_info",0.000742625
"float32[1, 6, 12, 64]",1,"cpu0",8.459,"vm.builtin.check_tensor_info",0.000416459
"float32[1, 6, 12, 64]",1,"cpu0",6.834,"vm.builtin.check_tensor_info",0.000336456
"float32[1, 6, 1500, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000297463
"float32[1, 6, 1500, 64]",1,"cpu0",7.959,"vm.builtin.check_tensor_info",0.000391842
"float32[1, 6, 12, 64]",1,"cpu0",6.833,"vm.builtin.check_tensor_info",0.000336406
"float32[1, 6, 12, 64]",1,"cpu0",6.542,"vm.builtin.check_tensor_info",0.00032208
"float32[1, 6, 1500, 64]",1,"cpu0",5.5,"vm.builtin.check_tensor_info",0.000270779
"float32[1, 6, 1500, 64]",1,"cpu0",6.625,"vm.builtin.check_tensor_info",0.000326166
"float32[1, 6, 12, 64]",1,"cpu0",6.542,"vm.builtin.check_tensor_info",0.00032208
"float32[1, 6, 12, 64]",1,"cpu0",6.167,"vm.builtin.check_tensor_info",0.000303617
"float32[1, 6, 1500, 64]",1,"cpu0",5.833,"vm.builtin.check_tensor_info",0.000287174
"float32[1, 6, 1500, 64]",1,"cpu0",5.334,"vm.builtin.check_tensor_info",0.000262607
"float32[1, 6, 12, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000297463
"float32[1, 6, 12, 64]",1,"cpu0",6.709,"vm.builtin.check_tensor_info",0.000330302
"float32[1, 6, 1500, 64]",1,"cpu0",5.291,"vm.builtin.check_tensor_info",0.00026049
"float32[1, 6, 1500, 64]",1,"cpu0",6.208,"vm.builtin.check_tensor_info",0.000305636
"int64[1, 1], int64[5]",1,"cpu0",9.5,"vm.builtin.match_shape",0.00046771
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",9.958,"vm.builtin.match_shape",0.000490258
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.542,"vm.builtin.match_shape",0.000371312
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.291,"vm.builtin.match_shape",0.000358955
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.875,"vm.builtin.match_shape",0.000338474
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",8.875,"vm.builtin.match_shape",0.000436939
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.001,"vm.builtin.match_shape",0.000344677
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.584,"vm.builtin.match_shape",0.000324147
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.5,"vm.builtin.match_shape",0.000320012
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.334,"vm.builtin.match_shape",0.000361072
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.00035285
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8,"vm.builtin.match_shape",0.000393861
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.126,"vm.builtin.match_shape",0.000301599
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.292,"vm.builtin.match_shape",0.000359004
"float32[1, 6, 12, 64], int64[5]",1,"cpu0",7.125,"vm.builtin.match_shape",0.000350782
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.25,"vm.builtin.match_shape",0.000406169
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.75,"vm.builtin.match_shape",0.000430785
"int64[5]",1,"cpu0",7.334,"shape_func",0.000361072
"int64[1, 1]",1,"cpu0",15.001,"vm.builtin.reshape",0.000738538
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",15.751,"take",0.000775463
"int64[5]",1,"cpu0",9.584,"vm.builtin.make_shape",0.000471845
"float32[448, 384], float32[1, 384]",1,"cpu0",16.459,"vm.builtin.call_tir_dyn",0.000810319
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",15.542,"add",0.000765173
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",16.668,"mean",0.000820609
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",14.209,"subtract",0.000699546
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",13.542,"power",0.000666708
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",13.667,"mean",0.000672862
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.167,"add1",0.000402083
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",6.708,"tir_sqrt",0.000330252
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.293,"divide",0.000900612
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",15.376,"multiply",0.000757
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16.168,"add2",0.000795993
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4945.02,"matmul",0.243456
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",24.084,"add3",0.00118572
